edge,nodeid,x,y,weight,active,demand,
0,155,-209.797088,79.520088,0.429600047,0,4,SQRT(((B2-B3)^2)+(A2-A3)^2)
0,308,-209.792792,79.520086,0,0,1,
1,308,-209.792792,79.520086,0.074402419,0,2,
1,440,-209.792048,79.52008,0.322605022,1,3,
1,658,-209.788822,79.520062,0.369203467,1,1,
1,940,-209.78513,79.520046,0.089000899,1,3,
1,992,-209.78424,79.520042,0.046469775,1,1,
1,1048,-209.783778,79.519992,0.07559709,1,1,
1,1079,-209.783034,79.519858,0.073481698,1,1,
1,1109,-209.782304,79.519774,0.07247979,1,3,
1,1142,-209.78158,79.51974,0.11760068,1,1,
1,1246,-209.780404,79.519736,0.379970367,1,1,
1,1380,-209.776616,79.520034,0.526407447,1,2,
1,1586,-209.771352,79.520006,0.057001403,1,2,
1,1629,-209.770782,79.520002,0.526407447,1,2,
1,1801,-209.765518,79.519974,0.400804042,1,4,
1,1912,-209.76151,79.519956,0.392406167,1,2,
1,2014,-209.757586,79.519934,0.300801662,1,4,
1,2117,-209.754578,79.519924,0.398001809,1,2,
1,2187,-209.750598,79.519912,0.209803432,1,3,
1,2225,-209.7485,79.5199,0.184402711,1,2,
1,2260,-209.746656,79.51989,0.185802691,1,4,
1,2297,-209.744798,79.51988,0.18380272,1,4,
1,2345,-209.74296,79.51987,0.191002618,1,3,
1,2359,-209.74105,79.51986,0.061026552,1,4,
1,2371,-209.74044,79.519842,0.035824014,1,2,
1,2373,-209.740084,79.519802,0.035578083,1,4,
1,2376,-209.739736,79.519728,0.034851112,1,3,
1,2377,-209.739404,79.519622,0.034298688,1,4,
1,2390,-209.73909,79.519484,0.023894769,1,4,
1,2395,-209.73888,79.51937,0.032673537,1,1,
1,2399,-209.73861,79.519186,0.027376632,1,1,
1,2401,-209.738402,79.519008,0.030850608,1,2,
1,2403,-209.738192,79.518782,0.008373769,1,3,
1,2404,-209.738138,79.518718,7.7127367,0,4,
2,3183,-209.70078,79.586194,0.013416408,0,3,
2,3185,-209.700648,79.586218,0.020557237,1,4,
2,3189,-209.700454,79.586286,0.019697716,1,2,
2,3191,-209.700282,79.586382,0.016979988,1,3,
2,3196,-209.700158,79.586498,0.01532188,1,3,
2,3198,-209.700068,79.586622,0.505205701,1,3,
2,3199,-209.700044,79.591674,0.064807716,1,2,
2,3201,-209.700034,79.591026,0.425605686,1,2,
2,3202,-209.700012,79.58677,0.231400086,1,2,
2,3203,-209.70001,79.589084,0.064604953,1,3,
2,3204,-209.700002,79.588438,10.94421243,0,1,
3,36,-209.799326,79.542478,0.05375872,0,3,
3,68,-209.798792,79.542416,0.140328757,1,2,
3,144,-209.797392,79.54232,0.058710476,1,3,
3,173,-209.796806,79.542284,0.056165826,1,3,
3,180,-209.796248,79.54222,0.212389171,1,3,
3,263,-209.794144,79.54193,0.116900128,1,1,
3,297,-209.792986,79.54177,0.081770655,1,1,
3,419,-209.792176,79.541658,0.093720649,1,4,
